date,date_day,year,month,day,dayofweek,hour,condition,temperature,dew_point,eolien_cooling,relative_humidity,atmospheric_pressure,precipitation,speed_wind,squall,wind_direction_degree,wind_direction_cardinal,precipitation_type,high_altitude_cloud,medium_altitude_cloud,low_altitude_cloud,isotherme_0_degre,k_index,cape_180_0,cin_180_0
2017-05-16 00:00:00,2017-05-16,2017,5,16,1,00,Nuit nuageuse,18.3,13.5,,73,1026.0,0.0,10,17,96,E,0,100.00,100.00,0.00,3700,36,0.0,0
2017-05-16 01:00:00,2017-05-16,2017,5,16,1,01,Nuit nuageuse,17.7,13.2,,75,1026.2,0.0,10,15,98,E,0,99.00,100.00,0.00,3700,36,0.0,0
2017-05-16 02:00:00,2017-05-16,2017,5,16,1,02,Nuit nuageuse,17.3,13.0,,76,1025.9,0.0,10,16,103,E,0,75.00,100.00,0.00,3700,36,0.0,0
2017-05-16 03:00:00,2017-05-16,2017,5,16,1,03,Nuit nuageuse,16.8,12.8,,77,1025.8,0.0,9,15,106,E,0,0.00,99.00,0.00,3700,36,0.0,0
2017-05-16 04:00:00,2017-05-16,2017,5,16,1,04,Nuit nuageuse,16.4,12.6,,78,1025.7,0.0,9,15,108,E,0,0.00,96.00,0.00,3700,36,0.0,0
2017-05-16 05:00:00,2017-05-16,2017,5,16,1,05,Nuit nuageuse,16.0,12.3,,78,1025.5,0.0,9,15,113,E,0,0.00,58.00,0.00,3700,36,0.0,0
2017-05-16 06:00:00,2017-05-16,2017,5,16,1,06,Nuit nuageuse,15.7,12.0,,78,1025.5,0.0,9,15,113,E,0,0.00,42.00,0.00,3700,36,0.0,0
2017-05-16 07:00:00,2017-05-16,2017,5,16,1,07,Ensoleillé,15.6,12.1,,80,1025.5,0.0,9,14,118,SE,0,0.00,0.00,0.00,3700,35,0.0,0
2017-05-16 08:00:00,2017-05-16,2017,5,16,1,08,Ensoleillé,17.5,13.4,,77,1025.8,0.0,7,14,117,SE,0,0.00,0.00,0.00,3700,35,0.0,0
2017-05-16 09:00:00,2017-05-16,2017,5,16,1,09,Ensoleillé,21.0,14.8,,68,1025.8,0.0,8,13,133,SE,0,20.00,0.00,0.00,3700,35,0.0,0
2017-05-16 10:00:00,2017-05-16,2017,5,16,1,10,Ensoleillé,23.6,15.5,,60,1025.6,0.0,8,13,137,SE,0,21.00,0.00,0.00,3700,35,0.0,0
2017-05-16 11:00:00,2017-05-16,2017,5,16,1,11,Ensoleillé,26.6,15.1,,52,1025.6,0.0,8,13,133,SE,0,1.00,0.00,0.00,3700,35,0.0,-31
2017-05-16 12:00:00,2017-05-16,2017,5,16,1,12,Ensoleillé,27.7,14.5,,47,1025.4,0.0,8,14,121,SE,0,0.00,0.00,0.00,3700,35,0.0,0
2017-05-16 13:00:00,2017-05-16,2017,5,16,1,13,Ensoleillé,28.4,14.4,,45,1025.1,0.0,9,15,118,SE,0,0.00,0.00,0.00,3700,35,0.0,-15
2017-05-16 14:00:00,2017-05-16,2017,5,16,1,14,Ensoleillé,28.9,14.5,,43,1024.5,0.0,9,15,117,SE,0,0.00,0.00,0.00,3700,36,10.0,-50
2017-05-16 15:00:00,2017-05-16,2017,5,16,1,15,Ensoleillé,29.3,14.6,,43,1024.2,0.0,8,14,115,SE,0,0.00,0.00,0.00,3700,37,20.0,-26
2017-05-16 16:00:00,2017-05-16,2017,5,16,1,16,Eclaircies,29.4,14.8,,43,1023.8,0.0,8,14,110,E,0,2.00,0.00,6.00,3700,39,40.0,-14
2017-05-16 17:00:00,2017-05-16,2017,5,16,1,17,Ciel voilé,29.3,14.9,,44,1023.2,0.0,9,14,107,E,0,100.00,0.00,6.00,3700,39,70.0,-9
2017-05-16 18:00:00,2017-05-16,2017,5,16,1,18,Eclaircies,29.0,15.1,,45,1022.9,0.0,9,15,104,E,0,100.00,5.00,4.00,3700,39,90.0,-11
2017-05-16 19:00:00,2017-05-16,2017,5,16,1,19,Eclaircies,28.6,15.5,,47,1022.6,0.0,10,16,103,E,0,100.00,100.00,0.00,3700,39,110.0,-17
2017-05-16 20:00:00,2017-05-16,2017,5,16,1,20,Eclaircies,27.8,17.4,,56,1022.8,0.0,9,16,97,E,0,76.00,44.00,1.00,3700,38,170.0,-12
2017-05-16 21:00:00,2017-05-16,2017,5,16,1,21,Eclaircies,24.6,17.8,,65,1022.7,0.0,9,15,92,E,0,0.00,0.00,0.00,3700,38,160.0,-14
2017-05-16 22:00:00,2017-05-16,2017,5,16,1,22,Faiblement nuageux,23.1,17.0,,68,1022.8,0.0,10,17,96,E,0,0.00,0.00,0.00,3700,38,90.0,-21
2017-05-16 23:00:00,2017-05-16,2017,5,16,1,23,Nuit légèrement voilée,21.9,16.7,,72,1023.0,0.0,11,17,100,E,0,43.00,0.00,0.00,3700,38,40.0,-29
2017-05-17 00:00:00,2017-05-17,2017,5,17,2,00,Nuit légèrement voilée,21.0,16.4,,75,1023.0,0.0,11,17,102,E,0,83.00,0.00,0.00,3700,38,30.0,-24
2017-05-17 01:00:00,2017-05-17,2017,5,17,2,01,Nuit nuageuse,20.0,16.2,,79,1022.6,0.0,11,17,105,E,0,28.00,0.00,0.00,3700,37,32.0,-38
2017-05-17 02:00:00,2017-05-17,2017,5,17,2,02,Nuit légèrement voilée,18.9,16.1,,83,1021.8,0.0,11,18,115,SE,0,96.00,0.00,0.00,3700,38,39.0,-44
2017-05-17 03:00:00,2017-05-17,2017,5,17,2,03,Nuit légèrement voilée,18.1,16.0,,87,1021.5,0.0,12,19,124,SE,0,100.00,0.00,0.00,3700,37,39.0,-43
2017-05-17 04:00:00,2017-05-17,2017,5,17,2,04,Fortement nuageux,17.8,15.8,,88,1021.1,0.0,13,21,131,SE,0,100.00,93.00,0.00,3600,37,35.0,-56
2017-05-17 05:00:00,2017-05-17,2017,5,17,2,05,Fortement nuageux,17.5,15.3,,87,1020.6,0.0,15,23,132,SE,0,100.00,100.00,0.00,3600,37,19.0,-62
2017-05-17 06:00:00,2017-05-17,2017,5,17,2,06,Fortement nuageux,16.4,14.6,,89,1020.0,0.0,14,23,131,SE,0,90.00,17.00,0.00,3600,36,4.0,-24
2017-05-17 07:00:00,2017-05-17,2017,5,17,2,07,Ciel voilé,16.1,14.1,,88,1019.8,0.0,15,24,130,SE,0,96.00,0.00,0.00,3600,36,0.0,0
2017-05-17 08:00:00,2017-05-17,2017,5,17,2,08,Ciel voilé,17.7,14.4,,81,1019.7,0.0,17,27,133,SE,0,96.00,0.00,0.00,3600,35,0.0,0
2017-05-17 09:00:00,2017-05-17,2017,5,17,2,09,Ciel voilé,19.7,15.3,,76,1019.1,0.0,17,28,136,SE,0,100.00,0.00,0.00,3600,35,0.0,0
2017-05-17 10:00:00,2017-05-17,2017,5,17,2,10,Ciel voilé,21.8,16.4,,72,1018.7,0.0,16,27,140,SE,0,99.00,0.00,0.00,3600,34,10.0,-138
2017-05-17 11:00:00,2017-05-17,2017,5,17,2,11,Ciel voilé,24.0,17.6,,67,1018.3,0.0,15,25,148,SE,0,89.00,0.00,0.00,3500,34,250.0,-108
2017-05-17 12:00:00,2017-05-17,2017,5,17,2,12,Ciel voilé,27.1,18.4,,62,1017.9,0.0,14,24,164,S,0,57.00,0.00,0.00,3400,34,760.0,-35
2017-05-17 13:00:00,2017-05-17,2017,5,17,2,13,Fortement nuageux,28.7,18.1,,56,1017.4,0.0,16,24,196,S,0,50.00,96.00,68.00,3400,33,910.0,-12
2017-05-17 14:00:00,2017-05-17,2017,5,17,2,14,Fortement nuageux,27.4,16.3,,53,1017.2,0.0,21,34,228,SO,0,100.00,100.00,99.00,3400,31,340.0,-15
2017-05-17 15:00:00,2017-05-17,2017,5,17,2,15,Fortement nuageux,24.2,14.4,,54,1017.5,0.0,25,39,240,SO,0,100.00,100.00,0.00,3400,33,40.0,-18
2017-05-17 16:00:00,2017-05-17,2017,5,17,2,16,Fortement nuageux,22.4,14.3,,60,1017.4,0.0,23,39,241,SO,0,100.00,100.00,41.00,3300,34,60.0,-24
2017-05-17 17:00:00,2017-05-17,2017,5,17,2,17,Fortement nuageux,21.9,14.9,,64,1016.6,0.0,18,35,244,SO,0,100.00,100.00,62.00,3300,33,30.0,-34
2017-05-17 18:00:00,2017-05-17,2017,5,17,2,18,Fortement nuageux,21.2,15.4,,69,1016.2,0.0,18,30,262,O,0,100.00,100.00,0.00,3400,33,10.0,-131
2017-05-17 19:00:00,2017-05-17,2017,5,17,2,19,Fortement nuageux,20.0,15.5,,75,1016.0,0.0,16,29,281,O,0,100.00,100.00,0.00,3300,32,30.0,-126
2017-05-17 20:00:00,2017-05-17,2017,5,17,2,20,Fortement nuageux,19.0,15.5,,80,1016.5,0.0,13,25,295,NO,0,100.00,100.00,99.00,3200,32,50.0,-59
2017-05-17 21:00:00,2017-05-17,2017,5,17,2,21,Pluie faible,17.7,15.6,,87,1016.7,0.1,11,20,308,NO,0,65.00,100.00,100.00,3200,32,100.0,-21
2017-05-17 22:00:00,2017-05-17,2017,5,17,2,22,Pluie faible,16.6,15.7,,94,1016.9,0.2,11,18,318,NO,0,0.00,100.00,100.00,3200,32,100.0,-13
